100000100;ITALIA;ITA
100000201;ALBANIA;ALB
100000202;ANDORRA;AND
100000203;AUSTRIA;AUT
100000206;BELGIO;BEL
100000209;BULGARIA;BGR
100000210;CECOSLOVACCHIA;MISSING
100000212;DANIMARCA;DNK
100000214;FINLANDIA;FIN
100000215;FRANCIA;FRA
100000216;GERMANIA;DEU
100000219;REGNO UNITO;GBR
100000220;GRECIA;GRC
100000221;IRLANDA;IRL
100000223;ISLANDA;ISL
100000224;JUGOSLAVIA (SERBIA-MONTENEGRO);MISSING
100000225;LIECHTENSTEIN;LIE
100000226;LUSSEMBURGO;LUX
100000227;MALTA;MLT
100000229;MONACO;MCO
100000231;NORVEGIA;NOR
100000232;PAESI BASSI;NLD
100000233;POLONIA;POL
100000234;PORTOGALLO;PRT
100000235;ROMANIA;ROU
100000236;SAN MARINO;SMR
100000239;SPAGNA;ESP
100000240;SVEZIA;SWE
100000241;SVIZZERA;CHE
100000243;UCRAINA;UKR
100000244;UNGHERIA;HUN
100000245;RUSSIA;RUS
100000246;CITTA' DEL VATICANO;VAT
100000247;ESTONIA;EST
100000248;LETTONIA;LVA
100000249;LITUANIA;LTU
100000250;CROAZIA;HRV
100000251;SLOVENIA;SVN
100000252;BOSNIA ED ERZEGOVINA;BIH
100000253;MACEDONIA;MKD
100000254;MOLDAVIA;MDA
100000255;REPUBBLICA SLOVACCA;SVK
100000256;BIELORUSSIA;BLR
100000257;REPUBBLICA CECA;CZE
100000301;AFGHANISTAN;AFG
100000302;ARABIA SAUDITA;SAU
100000304;BAHREIN;BHR
100000305;BANGLADESH;BGD
100000306;BHUTAN;BTN
100000307;MYANMAR (BIRMANIA);MMR
100000309;BRUNEI;BRN
100000310;CAMBOGIA;KHM
100000311;SRI LANKA (CEYLON);LKA
100000314;CINA POPOLARE;CHN
100000315;CIPRO;CYP
100000319;COREA DEL NORD;PRK
100000320;COREA DEL SUD;KOR
100000322;EMIRATI ARABI UNITI;ARE
100000323;FILIPPINE;PHL
100000326;GIAPPONE;JPN
100000327;GIORDANIA;JOR
100000330;INDIA;IND
100000331;INDONESIA;IDN
100000332;IRAN;IRN
100000333;IRAQ;IRQ
100000334;ISRAELE;ISR
100000335;KUWAIT;KWT
100000336;LAOS;LAO
100000337;LIBANO;LBN
100000339;MALDIVE;MDV
100000340;MALESIA;MYS
100000341;MONGOLIA;MNG
100000342;NEPAL;NPL
100000343;OMAN;OMN
100000344;PAKISTAN;PAK
100000345;QATAR;QAT
100000346;SINGAPORE;SGP
100000348;SIRIA;SYR
100000349;THAILANDIA;THA
100000351;TURCHIA;TUR
100000353;VIETNAM;VNM
100000354;YEMEN;YEM
100000356;KAZAKISTAN;KAZ
100000357;UZBEKISTAN;UZB
100000358;ARMENIA;ARM
100000359;AZERBAIGIAN;AZE
100000360;GEORGIA;GEO
100000361;KIRGHIZISTAN;KGZ
100000362;TAGIKISTAN;TJK
100000363;TAIWAN;TWN
100000364;TURKMENISTAN;TKM
100000401;ALGERIA;DZA
100000402;ANGOLA;AGO
100000404;COSTA D'AVORIO;CIV
100000406;BENIN;BEN
100000408;BOTSWANA;BWA
100000409;BURKINA FASO;BFA
100000410;BURUNDI;BDI
100000411;CAMERUN;CMR
100000413;CAPO VERDE;CPV
100000414;CENTRAFRICA;CAF
100000415;CIAD;TCD
100000417;COMORE;COM
100000418;CONGO;COG
100000419;EGITTO;EGY
100000420;ETIOPIA;ETH
100000421;GABON;GAB
100000422;GAMBIA;GMB
100000423;GHANA;GHA
100000424;GIBUTI;DJI
100000425;GUINEA;GIN
100000426;GUINEA BISSAU;GNB
